We,tc_over_tsigma,tc_sd,cor,cor_sd,delta_over_R,delta_sd,Bo,Oh
1.215765,4.659815,0.219633,0.236490,0.011727,0.822938,0.062620,0.0560,0.0580
1.633400,4.918160,0.519833,0.221026,0.018694,0.929496,0.100256,0.0560,0.0580
2.029733,5.148493,0.425855,0.217688,0.027382,1.090956,0.113871,0.0560,0.0580
2.799828,5.155148,0.335390,0.222046,0.011116,1.230112,0.126486,0.0560,0.0580
3.483458,4.956958,0.302505,0.237967,0.020737,1.297074,0.112394,0.0560,0.0580
3.946288,5.235847,0.208685,0.232495,0.022694,1.549499,0.101254,0.0560,0.0580
4.535288,5.072870,0.326452,0.243325,0.018127,1.589251,0.146466,0.0560,0.0580
5.143118,5.025189,0.186378,0.255026,0.006310,1.659907,0.075676,0.0560,0.0580
5.827020,5.016633,0.360889,0.248756,0.021225,1.725916,0.178790,0.0560,0.0580
6.226752,4.920486,0.264060,0.262980,0.027992,1.753958,0.122872,0.0560,0.0580
7.205437,5.181507,0.149501,0.255743,0.022490,2.003044,0.109951,0.0560,0.0580
7.307001,5.259405,0.263613,0.269418,0.007825,2.055765,0.163689,0.0560,0.0580
