metric,curve,linestyle,r,g,b,npts,We,value
cor,1,--,0.0000,0.0000,0.0000,30,0.05139980,0.00000000
cor,1,--,0.0000,0.0000,0.0000,30,0.09268748,0.00000000
cor,1,--,0.0000,0.0000,0.0000,30,0.13842561,0.05820296
cor,1,--,0.0000,0.0000,0.0000,30,0.18905753,0.13659920
cor,1,--,0.0000,0.0000,0.0000,30,0.24395239,0.16814723
cor,1,--,0.0000,0.0000,0.0000,30,0.30359993,0.18949178
cor,1,--,0.0000,0.0000,0.0000,30,0.36779773,0.19723263
cor,1,--,0.0000,0.0000,0.0000,30,0.43707683,0.20329260
cor,1,--,0.0000,0.0000,0.0000,30,0.51059298,0.20804961
cor,1,--,0.0000,0.0000,0.0000,30,0.58857776,0.21020404
cor,1,--,0.0000,0.0000,0.0000,30,0.67143880,0.21209428
cor,1,--,0.0000,0.0000,0.0000,30,0.75904924,0.21175859
cor,1,--,0.0000,0.0000,0.0000,30,0.85128321,0.21118043
cor,1,--,0.0000,0.0000,0.0000,30,0.94722760,0.21120028
cor,1,--,0.0000,0.0000,0.0000,30,1.04912312,0.20977194
cor,1,--,0.0000,0.0000,0.0000,30,1.15448223,0.20902065
cor,1,--,0.0000,0.0000,0.0000,30,1.26488167,0.20912430
cor,1,--,0.0000,0.0000,0.0000,30,1.38032144,0.20756166
cor,1,--,0.0000,0.0000,0.0000,30,1.49980976,0.20917760
cor,1,--,0.0000,0.0000,0.0000,30,1.62425744,0.20761333
cor,1,--,0.0000,0.0000,0.0000,30,1.75366448,0.20656420
cor,1,--,0.0000,0.0000,0.0000,30,1.88691847,0.20730086
cor,1,--,0.0000,0.0000,0.0000,30,2.01124830,0.20843032
cor,1,--,0.0000,0.0000,0.0000,30,2.72036680,0.21078684
cor,1,--,0.0000,0.0000,0.0000,30,3.53027513,0.21497455
cor,1,--,0.0000,0.0000,0.0000,30,4.44215536,0.22297919
cor,1,--,0.0000,0.0000,0.0000,30,5.45489624,0.22941871
cor,1,--,0.0000,0.0000,0.0000,30,6.57154110,0.23735284
cor,1,--,0.0000,0.0000,0.0000,30,7.78757018,0.24231074
cor,1,--,0.0000,0.0000,0.0000,30,9.10676633,0.24594548
cor,2,-,0.0000,0.4471,0.7412,25,0.04097561,0.00000000
cor,2,-,0.0000,0.4471,0.7412,25,0.13153455,0.00000000
cor,2,-,0.0000,0.4471,0.7412,25,0.27345528,0.15357595
cor,2,-,0.0000,0.4471,0.7412,25,0.46673780,0.19151701
cor,2,-,0.0000,0.4471,0.7412,25,0.71138211,0.19528156
cor,2,-,0.0000,0.4471,0.7412,25,1.00738821,0.18976599
cor,2,-,0.0000,0.4471,0.7412,25,1.35475610,0.18338341
cor,2,-,0.0000,0.4471,0.7412,25,1.75348577,0.19071695
