curve,linestyle,r,g,b,npts,We,tc_over_tsigma
1,--,0.0000,0.0000,0.0000,26,0.01517485,6.08022407
1,--,0.0000,0.0000,0.0000,26,0.02861548,5.79920500
1,--,0.0000,0.0000,0.0000,26,0.04367125,5.65134845
1,--,0.0000,0.0000,0.0000,26,0.06037467,5.50236394
1,--,0.0000,0.0000,0.0000,26,0.07866269,5.39454148
1,--,0.0000,0.0000,0.0000,26,0.09867448,5.30680569
1,--,0.0000,0.0000,0.0000,26,0.12034050,5.22338808
1,--,0.0000,0.0000,0.0000,26,0.14365441,5.15279375
1,--,0.0000,0.0000,0.0000,26,0.16848905,5.09898087
1,--,0.0000,0.0000,0.0000,26,0.19510834,5.04402548
1,--,0.0000,0.0000,0.0000,26,0.22326311,4.99886502
1,--,0.0000,0.0000,0.0000,26,0.25309335,4.96139963
1,--,0.0000,0.0000,0.0000,26,0.28455872,4.92838511
1,--,0.0000,0.0000,0.0000,26,0.31761914,4.90083795
1,--,0.0000,0.0000,0.0000,26,0.35249599,4.87440304
1,--,0.0000,0.0000,0.0000,26,0.38891486,4.84742254
1,--,0.0000,0.0000,0.0000,26,0.42683626,4.82606665
1,--,0.0000,0.0000,0.0000,26,0.46652145,4.80656779
1,--,0.0000,0.0000,0.0000,26,0.52600068,4.78863384
1,--,0.0000,0.0000,0.0000,26,0.71911306,4.74761160
1,--,0.0000,0.0000,0.0000,26,0.94065119,4.73361560
1,--,0.0000,0.0000,0.0000,26,1.19045166,4.74393123
1,--,0.0000,0.0000,0.0000,26,1.46856765,4.76298643
1,--,0.0000,0.0000,0.0000,26,1.77585274,4.76658140
1,--,0.0000,0.0000,0.0000,26,2.11102830,4.77377622
1,--,0.0000,0.0000,0.0000,26,2.47516083,4.79131166
2,-,0.4940,0.1840,0.5560,26,0.01517485,6.08834186
2,-,0.4940,0.1840,0.5560,26,0.02861548,5.73417824
2,-,0.4940,0.1840,0.5560,26,0.04367125,5.59871100
2,-,0.4940,0.1840,0.5560,26,0.06037467,5.45352639
2,-,0.4940,0.1840,0.5560,26,0.07866269,5.34819050
2,-,0.4940,0.1840,0.5560,26,0.09867448,5.28452156
2,-,0.4940,0.1840,0.5560,26,0.12034050,5.21762275
2,-,0.4940,0.1840,0.5560,26,0.14365441,5.11849456
2,-,0.4940,0.1840,0.5560,26,0.16848905,5.09167225
2,-,0.4940,0.1840,0.5560,26,0.19510834,5.04855333
2,-,0.4940,0.1840,0.5560,26,0.22326311,4.99463228
2,-,0.4940,0.1840,0.5560,26,0.25309335,4.94947319
2,-,0.4940,0.1840,0.5560,26,0.28455872,4.93025974
2,-,0.4940,0.1840,0.5560,26,0.31761914,4.89728919
2,-,0.4940,0.1840,0.5560,26,0.35249599,4.88450892
2,-,0.4940,0.1840,0.5560,26,0.38891486,4.85864714
2,-,0.4940,0.1840,0.5560,26,0.42683626,4.83678104
2,-,0.4940,0.1840,0.5560,26,0.46652145,4.83145712
2,-,0.4940,0.1840,0.5560,26,0.52600068,4.81207374
2,-,0.4940,0.1840,0.5560,26,0.71911306,4.76412093
2,-,0.4940,0.1840,0.5560,26,0.94065119,4.74289518
2,-,0.4940,0.1840,0.5560,26,1.19045166,4.72926684
2,-,0.4940,0.1840,0.5560,26,1.46856765,4.72007664
2,-,0.4940,0.1840,0.5560,26,1.77585274,4.70504808
2,-,0.4940,0.1840,0.5560,26,2.11102830,4.68705537
2,-,0.4940,0.1840,0.5560,26,2.47516083,4.68452732
3,-,0.9290,0.6940,0.1250,26,0.01517485,6.08834186
3,-,0.9290,0.6940,0.1250,26,0.02861548,5.85240872
3,-,0.9290,0.6940,0.1250,26,0.04367125,5.64656323
3,-,0.9290,0.6940,0.1250,26,0.06037467,5.49422435
3,-,0.9290,0.6940,0.1250,26,0.07866269,5.38384510
