fluid,We,metric,model,exp,exp_sd,pkm,dns,n_sd,wall_s
oil,1.215765,tc,5.080336,4.659815,0.219633,5.181837,5.245831,1.914655,52.2
oil,1.633400,tc,5.036224,4.918160,0.519833,5.049692,5.204640,0.227120,45.8
oil,2.029733,tc,5.018434,5.148493,0.425855,4.904411,5.171485,-0.305406,42.8
oil,2.799828,tc,5.010241,5.155148,0.335390,4.692602,5.118417,-0.432056,41.5
oil,3.483458,tc,5.013281,4.956958,0.302505,4.575248,5.087530,0.186190,40.7
oil,3.946288,tc,5.016864,5.235847,0.208685,4.518697,5.059822,-1.049348,39.6
oil,4.535288,tc,5.021940,5.072870,0.326452,4.471243,5.025799,-0.156010,41.3
oil,5.143118,tc,5.026443,5.025189,0.186378,4.425732,5.002844,0.006727,41.0
oil,5.827020,tc,5.030469,5.016633,0.360889,4.377580,4.974999,0.038338,40.9
oil,6.226752,tc,5.032246,4.920486,0.264060,4.358734,4.957737,0.423236,40.8
oil,7.205437,tc,5.034924,5.181507,0.149501,4.314851,4.929470,-0.980485,40.1
oil,7.307001,tc,5.035052,5.259405,0.263613,4.308607,4.927326,-0.851069,40.1
oil,1.215765,cor,0.177248,0.236490,0.011727,0.185937,0.209078,-5.051727,52.2
oil,1.633400,cor,0.170295,0.221026,0.018694,0.188508,0.207539,-2.713750,45.8
oil,2.029733,cor,0.164763,0.217688,0.027382,0.198422,0.208492,-1.932827,42.8
oil,2.799828,cor,0.156595,0.222046,0.011116,0.218067,0.211198,-5.888013,41.5
oil,3.483458,cor,0.151477,0.237967,0.020737,0.230612,0.214732,-4.170813,40.7
oil,3.946288,cor,0.148805,0.232495,0.022694,0.237172,0.218626,-3.687749,39.6
oil,4.535288,cor,0.146012,0.243325,0.018127,0.243582,0.223571,-5.368393,41.3
oil,5.143118,cor,0.143768,0.255026,0.006310,0.248980,0.227436,-17.632030,41.0
oil,5.827020,cor,0.141769,0.248756,0.021225,0.254287,0.232063,-5.040612,40.9
oil,6.226752,cor,0.140805,0.262980,0.027992,0.256784,0.234903,-4.364637,40.8
oil,7.205437,cor,0.138918,0.255743,0.022490,0.262163,0.239937,-5.194524,40.1
oil,7.307001,cor,0.138758,0.269418,0.007825,0.262737,0.240351,-16.697759,40.1
oil,1.215765,delta,0.723012,0.822938,0.062620,0.741463,0.840590,-1.595748,52.2
oil,1.633400,delta,0.796997,0.929496,0.100256,0.847162,0.942260,-1.321608,45.8
oil,2.029733,delta,0.856751,1.090956,0.113871,0.941216,1.029696,-2.056761,42.8
oil,2.799828,delta,0.954815,1.230112,0.126486,1.094579,1.178267,-2.176502,41.5
oil,3.483458,delta,1.028866,1.297074,0.112394,1.209473,1.297308,-2.386317,40.7
oil,3.946288,delta,1.074167,1.549499,0.101254,1.281124,1.370621,-4.694456,39.6
oil,4.535288,delta,1.127476,1.589251,0.146466,1.365999,1.461817,-3.152780,41.3
oil,5.143118,delta,1.178358,1.659907,0.075676,1.447194,1.550097,-6.363296,41.0
oil,5.827020,delta,1.231564,1.725916,0.178790,1.533448,1.645391,-2.764986,40.9
oil,6.226752,delta,1.260958,1.753958,0.122872,1.581305,1.699113,-4.012309,40.8
oil,7.205437,delta,1.328637,2.003044,0.109951,1.692948,1.824716,-6.133702,40.1
oil,7.307001,delta,1.335359,2.055765,0.163689,1.704227,1.837417,-4.401063,40.1
