fluid,We,metric,model,exp,exp_sd,pkm,dns,n_sd,wall_s
water,0.725074,tc,4.496568,4.662827,0.188704,4.710833,4.747235,-0.881056,38.5
water,0.983572,tc,4.453034,4.845526,0.204030,4.675847,4.735388,-1.923697,39.3
water,1.227724,tc,4.433000,5.161817,0.314531,4.675847,4.746485,-2.317154,39.9
water,1.573178,tc,4.422543,5.390522,0.292309,4.627140,4.764210,-3.311492,40.6
water,1.938695,tc,4.422418,5.128519,0.071345,4.539880,4.770077,-9.896997,40.0
water,0.725074,cor,0.327602,0.335902,0.024898,0.338226,0.345367,-0.333354,38.5
water,0.983572,cor,0.304502,0.309186,0.016532,0.313510,0.325083,-0.283341,39.3
water,1.227724,cor,0.287878,0.297476,0.015664,0.294826,0.311842,-0.612747,39.9
water,1.573178,cor,0.270167,0.287619,0.018712,0.283282,0.299674,-0.932690,40.6
water,1.938695,cor,0.256202,0.288436,0.012456,0.284122,0.292114,-2.587801,40.0
water,0.725074,delta,0.668997,0.707372,0.083299,0.633463,0.721100,-0.460688,38.5
water,0.983572,delta,0.748794,0.785149,0.091872,0.712323,0.824493,-0.395716,39.3
water,1.227724,delta,0.812131,0.903720,0.103174,0.775058,0.910211,-0.887717,39.9
water,1.573178,delta,0.888148,1.036989,0.103316,0.867557,1.015570,-1.440640,40.6
water,1.938695,delta,0.957360,1.065842,0.029975,0.968295,1.117151,-3.619091,40.0
