id,sigma_N_per_m,mu_Pa_s,rho_kg_per_m3,Dn_mm,outcome,R_m,R_std_m,Vi_m_per_s,Vi_std_m_per_s,Vo_m_per_s,Vo_std_m_per_s,ho_m,cor,We,Bo,Oh,cor_from_velocities
1,0.0187,0.00174,870,1.0,b,0.0004427999597924274,3.09490301704875e-06,0.24587949269659495,0.00012764089424878818,0.03283430825295832,1.9103638233784904e-05,0.0004498361419445582,0.14183055,1.24546015,0.08948738,0.02050053,0.13353821
2,0.0187,0.00174,870,1.0,b,0.00044147205517361187,8.424057870451074e-06,0.2718789183031625,0.00013512204255792357,0.040722152522515105,1.2825105595056643e-05,0.00046989870325807374,0.17314572,1.51821029,0.08895146,0.02053134,0.14978047
3,0.0187,0.00174,870,1.0,b,0.00044585631002035727,4.460126076354979e-06,0.25354778706066544,0.00011049470328319838,0.03250479591782872,2.1805267204348033e-05,0.0004661213119641773,0.15039952,1.33349752,0.09072699,0.02043014,0.12819988
4,0.0187,0.00174,870,1.0,b,0.00045069196463807485,6.78714431713788e-06,0.2261304211888743,6.277818196504477e-05,0.027931266558730697,2.3865762620419298e-05,0.00044766266892848317,0.11872018,1.07219912,0.09270567,0.02032024,0.12351839
5,0.0187,0.00174,870,1.0,b,0.0004494202169434395,1.785488769928949e-06,0.3054464974845106,4.0869502271576237e-05,0.05008279256110896,9.670740973733543e-06,0.0004755166065128941,0.17992425,1.95074521,0.09218322,0.02034897,0.16396584
6,0.0187,0.00174,870,1.0,b,0.00044642266147764856,1.1255333179548724e-06,0.3043968874746602,4.4168536049578594e-05,0.05191264860695938,1.0074790574253057e-05,0.00045642880610784425,0.17664532,1.92443964,0.09095763,0.02041718,0.17054264
7,0.0187,0.00174,870,1.0,b,0.0004451108906713267,1.1924456748581199e-06,0.306844761195183,7.613743613019975e-05,0.05430777652819333,9.931356385245625e-06,0.0004564421441665977,0.18353723,1.94976959,0.09042387,0.02044724,0.17698779
8,0.0187,0.00174,870,1.0,b,0.0004439396020074392,1.9885673944086176e-06,0.3657905230921721,6.874087171422094e-05,0.06454718271780698,8.736528198746437e-06,0.0005273751347014687,0.2082604,2.76354432,0.0899486,0.0204742,0.17645942
9,0.0187,0.00174,870,1.0,b,0.00044709052214008684,9.044956238124792e-07,0.36043501691574964,4.772687875865898e-05,0.06422440171317467,7.793642211199675e-06,0.0005113607701891629,0.20360871,2.70225957,0.09122998,0.02040192,0.1781858
10,0.0187,0.00174,870,1.0,b,0.00044523657669155557,2.2700342981919952e-06,0.41994463567790313,6.0390743302812675e-05,0.08285573222262303,1.2992883295625108e-05,0.0005774587999414526,0.23159908,3.65302427,0.09047494,0.02044435,0.19730156
