id,sigma_N_per_m,mu_Pa_s,rho_kg_per_m3,Dn_mm,outcome,R_m,R_std_m,Vi_m_per_s,Vi_std_m_per_s,Vo_m_per_s,Vo_std_m_per_s,ho_m,cor,We,Bo,Oh,cor_from_velocities
1,0.0187,0.00174,870,1.0,b,0.0004427999597924274,3.09490301704875e-06,0.24587949269659495,0.00012764089424878818,0.03283430825295832,1.9103638233784904e-05,0.0004498361419445582,0.1418305477980911,1.245460148119482,0.08948738122705341,0.0205005273238738,0.13353821375202887
2,0.0187,0.00174,870,1.0,b,0.00044147205517361187,8.424057870451074e-06,0.2718789183031625,0.00013512204255792357,0.040722152522515105,1.2825105595056643e-05,0.00046989870325807374,0.17314571554048738,1.5182102917141702,0.08895146190444544,0.020531335961131585,0.1497804713093175
3,0.0187,0.00174,870,1.0,b,0.00044585631002035727,4.460126076354979e-06,0.25354778706066544,0.00011049470328319838,0.03250479591782872,2.1805267204348033e-05,0.0004661213119641773,0.15039951518912126,1.3334975200009493,0.09072698697534516,0.020430140813879286,0.12819988016717107
4,0.0187,0.00174,870,1.0,b,0.00045069196463807485,6.78714431713788e-06,0.2261304211888743,6.277818196504477e-05,0.027931266558730697,2.3865762620419298e-05,0.00044766266892848317,0.11872018299473006,1.0721991152212789,0.0927056671700436,0.020320243654093104,0.1235183944375235
5,0.0187,0.00174,870,1.0,b,0.0004494202169434395,1.785488769928949e-06,0.3054464974845106,4.0869502271576237e-05,0.05008279256110896,9.670740973733543e-06,0.0004755166065128941,0.1799242478469235,1.9507452141742776,0.09218321774963331,0.020348973967170992,0.16396584335902786
6,0.0187,0.00174,870,1.0,b,0.00044642266147764856,1.1255333179548724e-06,0.3043968874746602,4.4168536049578594e-05,0.05191264860695938,1.0074790574253057e-05,0.00045642880610784425,0.1766453209185865,1.9244396360709286,0.09095762628731094,0.020417177412704848,0.1705426393733441
7,0.0187,0.00174,870,1.0,b,0.0004451108906713267,1.1924456748581199e-06,0.306844761195183,7.613743613019975e-05,0.05430777652819333,9.931356385245625e-06,0.0004564421441665977,0.1835372305018876,1.9497695890992586,0.0904238708563735,0.020447240655710516,0.17698779120966748
8,0.0187,0.00174,870,1.0,b,0.0004439396020074392,1.9885673944086176e-06,0.3657905230921721,6.874087171422094e-05,0.06454718271780698,8.736528198746437e-06,0.0005273751347014687,0.2082604036515431,2.763544317945853,0.0899486045564946,0.020474196850580335,0.17645941773494866
9,0.0187,0.00174,870,1.0,b,0.00044709052214008684,9.044956238124792e-07,0.36043501691574964,4.772687875865898e-05,0.06422440171317467,7.793642211199675e-06,0.0005113607701891629,0.20360871443026793,2.702259567480934,0.09122998011431967,0.02040192219587525,0.17818579965604978
10,0.0187,0.00174,870,1.0,b,0.00044523657669155557,2.2700342981919952e-06,0.41994463567790313,6.0390743302812675e-05,0.08285573222262303,1.2992883295625108e-05,0.0005774587999414526,0.23159907880326347,3.653024265098543,0.09047494406653502,0.020444354421930943,0.19730156116620393
11,0.0187,0.00174,870,1.0,b,0.00044295377849279177,2.7589836281236817e-06,0.42629885675164697,5.509046994632414e-05,0.08383481392309465,9.072885462207519e-06,0.0005826813956732243,0.2318607062981889,3.7451084003511057,0.08954956381388891,0.02049696754131047,0.19665737450460746
12,0.0187,0.00174,870,1.0,b,0.000451117872137519,6.868879919338299e-07,0.41168073203521294,4.009017474371395e-05,0.08995828776972876,7.632925426033235e-06,0.00047640527007767475,0.22511346018911965,3.5570401015398203,0.09288096514894666,0.020310649057663614,0.21851469055888245
